--Loading Dataset--
--Finished Loading Dataset--
--Initialized Transcoder--
--Created Dataloader--
--Beginning Training--
         14709571 function calls (14634871 primitive calls) in 189.005 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    31/19    0.000    0.000  185.329    9.754 util.py:208(__call__)
     15/3    0.000    0.000  185.328   61.776 util.py:466(close_fds)
     16/1    0.001    0.000   96.243   96.243 threading.py:1001(run)
     16/1    0.001    0.000   96.243   96.243 queues.py:231(_feed)
        1    0.000    0.000   88.043   88.043 train_copy_transcoder.py:244(create_and_train_transcoders)
        1    0.000    0.000   88.042   88.042 train_copy_transcoder.py:184(train)
        1    0.000    0.000   88.042   88.042 serialization.py:908(save)
        1    0.049    0.049   88.042   88.042 serialization.py:797(__exit__)
        1   87.992   87.992   87.992   87.992 serialization.py:1141(_save)
    20515   62.871    0.003   62.871    0.003 {method 'item' of 'torch._C.TensorBase' objects}
     1580    0.023    0.000   15.225    0.010 dataloader.py:728(__next__)
    29/19    0.000    0.000   14.775    0.778 _ops.py:316(fallthrough)
        1    0.023    0.023   13.307   13.307 train_copy_transcoder.py:143(validate)
      159    0.418    0.003   11.087    0.070 dataloader.py:787(_next_data)
      158    0.001    0.000   10.646    0.067 fetch.py:47(fetch)
      158    1.178    0.007    8.940    0.057 dataset.py:410(__getitems__)
      158    7.762    0.049    7.763    0.049 dataset.py:259(__getitems__)
9956/9924    0.027    0.000    6.628    0.001 connection.py:182(send_bytes)
       16    0.001    0.000    6.611    0.413 process.py:110(start)
       16    0.000    0.000    6.609    0.413 context.py:222(_Popen)
       16    0.000    0.000    6.609    0.413 context.py:279(_Popen)
       16    0.000    0.000    6.608    0.413 popen_fork.py:15(__init__)
       16    0.001    0.000    6.607    0.413 popen_fork.py:62(_launch)
12796/12764    0.179    0.000    6.607    0.001 connection.py:406(_send_bytes)
       16    6.606    0.413    6.606    0.413 {built-in method posix.fork}
      127    0.003    0.000    6.158    0.048 __init__.py:1(<module>)
    25/20    0.000    0.000    4.513    0.226 _ops.py:296(py_impl)
     1421    0.009    0.000    4.321    0.003 dataloader.py:1457(_next_data)
     6159    2.106    0.000    3.974    0.001 {method 'to' of 'torch._C.TensorBase' objects}
        2    0.000    0.000    3.733    1.867 __init__.py:2634(registerOp)
        3    0.000    0.000    2.998    0.999 _ops.py:161(py_functionalize_impl)
     1611    0.001    0.000    2.908    0.002 dataloader.py:722(_next_index)
     1420    0.007    0.000    2.645    0.002 _tensor.py:592(backward)
     1420    0.015    0.000    2.637    0.002 __init__.py:243(backward)
     1420    0.007    0.000    2.561    0.002 graph.py:815(_engine_run_backward)
     1420    2.104    0.001    2.552    0.002 {method 'run_backward' of 'torch._C._EngineBase' objects}
     1452    0.008    0.000    2.383    0.002 dataloader.py:1517(_try_put_index)
     1420    0.003    0.000    2.366    0.002 dataloader.py:1546(_process_data)
       92    0.003    0.000    2.362    0.026 library.py:293(impl)
        1    0.000    0.000    2.315    2.315 module.py:1228(to)
      4/1    0.001    0.000    2.315    2.315 module.py:912(_apply)
    16083    0.006    0.000    2.202    0.000 {built-in method builtins.next}
     1580    0.857    0.001    2.194    0.001 sampler.py:326(__iter__)
        5    0.000    0.000    2.027    0.405 module.py:1332(convert)
     1420    0.003    0.000    1.942    0.001 dataloader.py:1422(_get_data)
     1420    0.002    0.000    1.938    0.001 dataloader.py:1271(_try_get_data)
     1420    0.011    0.000    1.936    0.001 queues.py:98(get)
      4/1    0.000    0.000    1.867    1.867 __init__.py:342(_lazy_init)
        1    0.000    0.000    1.867    1.867 __init__.py:1651(_register_triton_kernels)
        1    0.000    0.000    1.862    1.862 __init__.py:235(_check_capability)
        6    0.000    0.000    1.859    0.310 __init__.py:982(device_count)
        6    0.000    0.000    1.859    0.310 __init__.py:926(_device_count_nvml)
        6    1.858    0.310    1.859    0.310 __init__.py:782(_raw_device_count_nvml)
     1420    0.055    0.000    1.794    0.001 {built-in method _pickle.loads}
      158    0.000    0.000    1.704    0.011 collate.py:337(default_collate)
  474/158    0.059    0.000    1.704    0.011 collate.py:118(collate)
     2840    0.017    0.000    1.640    0.001 reductions.py:540(rebuild_storage_fd)
        1    0.060    0.060    1.639    1.639 train_copy_transcoder.py:96(train_epoch)
      316    0.003    0.000    1.638    0.005 collate.py:243(collate_tensor_fn)
      316    1.635    0.005    1.635    0.005 {built-in method torch.stack}
     2840    0.008    0.000    1.524    0.001 resource_sharer.py:55(detach)
        3    0.000    0.000    1.517    0.506 _ops.py:268(__init__)
        1    0.000    0.000    1.470    1.470 triton_kernel_wrap.py:797(__init__)
9310/3472    0.016    0.000    1.349    0.000 module.py:1747(_wrapped_call_impl)
9310/3472    0.028    0.000    1.341    0.000 module.py:1755(_call_impl)
 11631392    0.819    0.000    1.338    0.000 sampler.py:167(__iter__)
     2840    0.017    0.000    1.262    0.000 resource_sharer.py:81(get_connection)
       11    0.001    0.000    1.192    0.108 utils.py:1(<module>)
     2840    0.010    0.000    1.152    0.000 connection.py:510(Client)
     1436    0.011    0.000    1.101    0.001 connection.py:1122(wait)
        2    0.000    0.000    1.065    0.533 exc.py:1(<module>)
     1436    0.007    0.000    1.053    0.001 selectors.py:402(select)
     1436    1.042    0.001    1.043    0.001 {method 'poll' of 'select.poll' objects}
        1    0.000    0.000    1.019    1.019 dataloader.py:1662(__del__)
        1    0.000    0.000    1.019    1.019 dataloader.py:1581(_shutdown_workers)
       16    0.000    0.000    1.018    0.064 process.py:142(join)
       16    0.000    0.000    1.018    0.064 popen_fork.py:36(wait)
     1207    0.008    0.000    0.971    0.001 <frozen importlib._bootstrap_external>:1066(get_code)
        1    0.000    0.000    0.906    0.906 symbolic_shapes.py:1(<module>)
     9940    0.010    0.000    0.881    0.000 connection.py:208(recv_bytes)
